,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
5946,Somalia,1995,53.96234981305134,"Tracheal, bronchus, and lung cancer",Number,44.42125884960743,77.5701778719515,23.21262428679425
5947,Somalia,1995,53.96234981305134,Breast cancer,Number,155.1878685714185,248.5480869869104,88.88857532772512
5948,Somalia,1995,53.96234981305134,Cervical cancer,Number,354.4837725499596,593.0734039318315,179.38550105562746
5949,Somalia,1995,53.96234981305134,Uterine cancer,Number,18.92720938889536,32.853886970661,9.001992594903577
5950,Somalia,1995,53.96234981305134,Prostate cancer,Number,89.18232731709058,147.1737614346336,40.81582930992338
5951,Somalia,1995,53.96234981305134,Colon and rectum cancer,Number,55.3699235377923,94.40929350633564,32.25550891658369
5952,Somalia,1995,53.96234981305134,Lip and oral cavity cancer,Number,31.322581975622587,50.36993285124504,18.282830493177396
5953,Somalia,1995,53.96234981305134,Nasopharynx cancer,Number,25.162081366145983,38.49647778588831,14.311304467573596
5954,Somalia,1995,53.96234981305134,Other pharynx cancer,Number,5.766991206084757,10.352662887003408,3.139740469350331
5955,Somalia,1995,53.96234981305134,Gallbladder and biliary tract cancer,Number,7.096322787921689,11.909915198545235,3.8244368319435695
5956,Sudan,1995,154.30376413719827,Esophageal cancer,Number,120.80179737484262,196.29187746769836,35.16173367317514
5957,Sudan,1995,154.30376413719827,Stomach cancer,Number,416.8137269230944,600.0236123792305,260.99302638173896
5958,Sudan,1995,154.30376413719827,Liver cancer,Number,84.86230441758087,133.61293163405588,48.21026423011268
5959,Saudi Arabia,1993,86.72812188604047,Larynx cancer,Number,38.20263966491571,52.873734808725416,25.060743388222
5960,Saudi Arabia,1993,86.72812188604047,"Tracheal, bronchus, and lung cancer",Number,119.39114740819592,173.1550484874971,77.32588044036612
5961,Saudi Arabia,1993,86.72812188604047,Breast cancer,Number,432.7658994156519,624.7482705048353,288.9438519556419
5962,Saudi Arabia,1993,86.72812188604047,Cervical cancer,Number,56.01694764809683,96.75689951670412,32.93649804666172
5963,Saudi Arabia,1993,86.72812188604047,Uterine cancer,Number,31.50573549441985,50.033464429870456,18.427757455899823
5964,Saudi Arabia,1993,86.72812188604047,Prostate cancer,Number,247.3915751836287,374.2077408465921,147.72836175858745
5965,Saudi Arabia,1993,86.72812188604047,Colon and rectum cancer,Number,208.6635093945099,285.8986425490791,140.2770762161455
5966,Saudi Arabia,1993,86.72812188604047,Lip and oral cavity cancer,Number,43.45592750532472,60.15327546647762,29.136644716624986
5967,Saudi Arabia,1993,86.72812188604047,Nasopharynx cancer,Number,59.30627139623485,82.83699929666243,38.03771572330143
5968,Saudi Arabia,1993,86.72812188604047,Other pharynx cancer,Number,5.878428405140916,8.373749046855524,3.841391898765208
5969,Syrian Arab Republic,1996,126.82845377113829,Uterine cancer,Number,52.60045150378192,79.69813970817941,31.72530650681245
5970,Syrian Arab Republic,1996,126.82845377113829,Prostate cancer,Number,231.48756549755444,336.32036142218595,147.01677401680246
5971,Syrian Arab Republic,1996,126.82845377113829,Colon and rectum cancer,Number,201.21762338194185,273.06495556951324,139.15127782022066
5972,Syrian Arab Republic,1996,126.82845377113829,Lip and oral cavity cancer,Number,23.386683282151928,31.78555935437722,16.05727584226679
5973,Syrian Arab Republic,1996,126.82845377113829,Nasopharynx cancer,Number,7.120977431338961,10.36735472308635,4.655168410532023
5974,Syrian Arab Republic,1996,126.82845377113829,Other pharynx cancer,Number,3.7239438660031774,5.235851261647639,2.476168514777275
5975,Syrian Arab Republic,1996,126.82845377113829,Gallbladder and biliary tract cancer,Number,11.269729430968267,15.513756449648284,7.561641932473535
5976,Syrian Arab Republic,1996,126.82845377113829,Pancreatic cancer,Number,27.62479125345981,38.99073308617412,18.84731112652768
5977,Syrian Arab Republic,1996,126.82845377113829,Malignant skin melanoma,Number,6.4892115844198965,9.466435644510966,4.1053282858257205
5978,Syrian Arab Republic,1996,126.82845377113829,Non-melanoma skin cancer,Number,1.4885008146289973,2.217996602964412,0.9484793858121516
5979,Syrian Arab Republic,1996,126.82845377113829,Ovarian cancer,Number,52.2651642854446,76.3823615435195,32.338797566454204
5980,Syrian Arab Republic,1996,126.82845377113829,Testicular cancer,Number,17.57303589695219,44.49119292343264,5.175521052391755
5981,Syrian Arab Republic,1996,126.82845377113829,Kidney cancer,Number,37.48109089152899,53.45060983862472,25.046236070018903
5982,Syrian Arab Republic,1996,126.82845377113829,Bladder cancer,Number,97.04062934050714,134.9213119421946,64.68143574421138
5983,Syrian Arab Republic,1996,126.82845377113829,Brain and central nervous system cancer,Number,169.74206348910457,250.80806954051005,108.4407326141134
5984,Syrian Arab Republic,1996,126.82845377113829,Thyroid cancer,Number,26.11385915106294,38.82619432597359,15.578003415787514
5985,Syrian Arab Republic,1996,126.82845377113829,Mesothelioma,Number,1.9113893799338424,2.9696363913936072,1.1907755780110534
5986,Syrian Arab Republic,1996,126.82845377113829,Hodgkin lymphoma,Number,6.650879354425913,9.311466863086189,4.454314466902208
5987,Yemen,1996,83.40566686344317,Larynx cancer,Number,77.42786749007203,114.38022150181946,45.307946670782925
5988,Yemen,1996,83.40566686344317,"Tracheal, bronchus, and lung cancer",Number,131.21283084533934,224.3525176886164,71.93533258507871
5989,Yemen,1996,83.40566686344317,Breast cancer,Number,298.5049692659702,491.30368110729273,172.23860850674285
5990,Yemen,1996,83.40566686344317,Cervical cancer,Number,95.57700031027684,158.23595496121953,43.622903392084766
5991,Yemen,1996,83.40566686344317,Uterine cancer,Number,18.43858176765753,36.04233356344728,9.368017394128763
5992,Yemen,1996,83.40566686344317,Prostate cancer,Number,115.82507939466464,177.10314700559616,69.82933129158933
5993,Yemen,1996,83.40566686344317,Colon and rectum cancer,Number,134.4796568410088,209.73187614147983,77.38240055165639
5994,Egypt,1996,485.66974227486065,Other malignant neoplasms,Number,1268.2577864977843,1726.6386908323973,904.7515455541956
5995,Bahrain,1996,5.7784482500083065,Thyroid cancer,Number,3.0452358691951185,4.61365906823693,2.008400451023361
5996,Bahrain,1996,5.7784482500083065,Mesothelioma,Number,0.1628754530625833,0.2347299895312846,0.1070708984035855
5997,Bahrain,1996,5.7784482500083065,Hodgkin lymphoma,Number,2.6977080483832108,4.225571849485744,1.4163376658033644
5998,Bahrain,1996,5.7784482500083065,Non-Hodgkin lymphoma,Number,4.209635321727485,5.918813138099572,2.840889003237385
5999,Bahrain,1996,5.7784482500083065,Multiple myeloma,Number,2.330610999500726,3.4208933089832736,1.4460717560944825
6000,Bahrain,1996,5.7784482500083065,Leukemia,Number,11.453881855142022,15.764098526247164,7.8522306799809956
6001,Bahrain,1996,5.7784482500083065,Other neoplasms,Number,3.361208481570194,5.200264281751631,2.036151537069196
6002,Somalia,1995,53.96234981305134,Other malignant neoplasms,Number,137.64800045427756,221.9192997155848,85.57254568713775
6003,Syrian Arab Republic,1996,126.82845377113829,Other malignant neoplasms,Number,190.2704586622366,259.98009664811,128.67870063389643
6004,Sudan,1995,154.30376413719827,Mesothelioma,Number,2.556782035015273,5.647380556111911,0.9943415042049568
6005,Sudan,1995,154.30376413719827,Hodgkin lymphoma,Number,40.40025255774989,63.42683877198584,24.39609557336409
6006,Sudan,1995,154.30376413719827,Non-Hodgkin lymphoma,Number,71.64586053194772,116.23805630703356,43.13997135727977
6007,Sudan,1995,154.30376413719827,Multiple myeloma,Number,50.46476437171238,88.91555571843665,29.18680200299313
6008,Sudan,1995,154.30376413719827,Leukemia,Number,1164.5259134282085,2601.7358594786647,421.609742685473
6009,Sudan,1995,154.30376413719827,Other neoplasms,Number,81.85935428961419,131.1183108543285,48.818219973409086
6010,Sudan,1995,154.30376413719827,Uterine cancer,Number,31.55586524725479,59.71831728027768,17.181503052166367
6011,Sudan,1995,154.30376413719827,Prostate cancer,Number,238.8142162795473,368.01052380254873,148.0264131097151
6012,Sudan,1995,154.30376413719827,Colon and rectum cancer,Number,225.79326620045472,350.3818132037197,146.068224005943
6013,Sudan,1995,154.30376413719827,Lip and oral cavity cancer,Number,47.49080109168133,76.85012280624967,26.01272780225006
6014,Sudan,1995,154.30376413719827,Nasopharynx cancer,Number,25.12604254014949,38.24151702905138,15.185248239366832
6015,Sudan,1995,154.30376413719827,Other pharynx cancer,Number,7.744440775968129,12.241570546202302,4.655028645377229
6016,Sudan,1995,154.30376413719827,Gallbladder and biliary tract cancer,Number,36.68037418748873,57.42019427627674,20.38196989743197
6017,Sudan,1995,154.30376413719827,Pancreatic cancer,Number,32.24254084351937,52.928358694849095,18.367976013866045
6018,Sudan,1995,154.30376413719827,Malignant skin melanoma,Number,15.022728375027697,31.137794067751727,5.338014495311619
6019,Sudan,1995,154.30376413719827,Non-melanoma skin cancer,Number,2.359350726753584,3.5245422454684348,1.4954637390183876
6020,Sudan,1995,154.30376413719827,Ovarian cancer,Number,50.72607076078685,182.35876173868067,19.07645278063992
6021,Sudan,1995,154.30376413719827,Testicular cancer,Number,8.095463920368513,28.896782100117075,2.152021173674717
6022,Sudan,1995,154.30376413719827,Kidney cancer,Number,73.48499719298879,122.694968620774,38.84108518089688
6023,Sudan,1995,154.30376413719827,Bladder cancer,Number,177.11551891590324,428.3071491520311,81.42397132701811
6024,Sudan,1995,154.30376413719827,Brain and central nervous system cancer,Number,222.69420496222716,462.1783528818042,104.465606369994
6025,Sudan,1995,154.30376413719827,Thyroid cancer,Number,72.9378887456398,124.45782859915528,36.57595636447037
